职位,城市,经验,学历,工资水平
开发工程师,上海,2年经验,大专,1.0
开发工程师,苏州,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
实习,上海,在校生,硕士,
开发工程师,重庆,1年经验,本科,1.0
开发工程师,北京,,本科,1.0
其他,上海,3-4年经验,本科,2.0
开发工程师,上海,2年经验,本科,2.0
其他,上海,3-4年经验,大专,1.0
开发工程师,南京,在校生,大专,0.0
开发工程师,合肥,2年经验,本科,1.0
开发工程师,杭州,3-4年经验,大专,2.0
其他,长沙,2年经验,大专,1.0
开发工程师,北京,2年经验,本科,1.0
开发工程师,佛山,2年经验,大专,0.0
其他,广州,2年经验,本科,1.0
开发工程师,西安,3-4年经验,本科,1.0
其他,厦门,1年经验,大专,0.0
开发工程师,北京,2年经验,大专,1.0
开发工程师,上海,2年经验,大专,1.0
开发工程师,武汉,5-7年经验,本科,1.0
开发工程师,杭州,2年经验,本科,1.0
其他,西安,在校生,大专,0.0
其他,合肥,2年经验,本科,1.0
开发工程师,上海,2年经验,本科,1.0
讲师,郑州,1年经验,大专,1.0
其他,成都,3-4年经验,本科,1.0
其他,西安,在校生,大专,1.0
讲师,广州,1年经验,大专,1.0
开发工程师,银川,3-4年经验,本科,1.0
其他,北京,3-4年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,1.0
算法,西安,3-4年经验,本科,1.0
其他,异地招聘,2年经验,本科,1.0
开发工程师,无锡,无需经验,本科,1.0
开发工程师,广州,1年经验,大专,1.0
其他,长沙,在校生,本科,1.0
其他,东莞,3-4年经验,大专,1.0
其他,上海,无需经验,本科,1.0
其他,上海,1年经验,大专,1.0
其他,昆明,1年经验,大专,0.0
开发工程师,武汉,2年经验,本科,1.0
讲师,长沙,1年经验,大专,1.0
开发工程师,异地招聘,3-4年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
其他,上海,2年经验,本科,1.0
开发工程师,广州,2年经验,本科,1.0
实习,沈阳,在校生,大专,0.0
开发工程师,成都,1年经验,大专,1.0
其他,张家口,1年经验,本科,1.0
其他,武汉,2年经验,本科,1.0
实习,苏州,在校生,大专,0.0
开发工程师,苏州,1年经验,本科,1.0
其他,上海,3-4年经验,本科,2.0
其他,成都,1年经验,本科,1.0
开发工程师,上海,1年经验,本科,
讲师,南京,1年经验,本科,0.0
其他,上海,3-4年经验,本科,1.0
实习,苏州,在校生,本科,0.0
开发工程师,上海,在校生,大专,1.0
其他,长沙,3-4年经验,本科,1.0
其他,广州,3-4年经验,本科,1.0
开发工程师,合肥,3-4年经验,本科,1.0
开发工程师,上海,1年经验,本科,1.0
开发工程师,南京,1年经验,大专,1.0
其他,佛山,,本科,1.0
讲师,昆明,,,0.0
开发工程师,北京,5-7年经验,大专,1.0
其他,重庆,1年经验,本科,1.0
其他,异地招聘,2年经验,大专,1.0
开发工程师,武汉,2年经验,本科,1.0
讲师,西安,在校生,本科,1.0
其他,北京,3-4年经验,本科,1.0
开发工程师,南京,3-4年经验,本科,1.0
开发工程师,贵阳,1年经验,大专,1.0
测试,武汉,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,大专,1.0
讲师,广州,1年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,1.0
其他,杭州,5-7年经验,本科,2.0
其他,佛山,2年经验,大专,1.0
开发工程师,广州,2年经验,本科,1.0
开发工程师,成都,2年经验,大专,1.0
开发工程师,武汉,在校生,本科,1.0
开发工程师,长沙,2年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
其他,上海,3-4年经验,本科,1.0
开发工程师,深圳,5-7年经验,本科,2.0
实习,成都,无需经验,大专,0.0
开发工程师,成都,5-7年经验,本科,1.0
开发工程师,武汉,3-4年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,广州,2年经验,大专,1.0
其他,合肥,在校生,大专,1.0
实习,深圳,无需经验,大专,1.0
数据分析,深圳,3-4年经验,本科,1.0
开发工程师,无锡,1年经验,本科,1.0
其他,广州,2年经验,本科,1.0
开发工程师,上海,5-7年经验,本科,2.0
开发工程师,长沙,3-4年经验,大专,1.0
其他,太原,1年经验,本科,0.0
开发工程师,北京,1年经验,本科,1.0
开发工程师,广州,2年经验,本科,1.0
其他,合肥,8-9年经验,本科,2.0
开发工程师,上海,5-7年经验,本科,2.0
其他,深圳,3-4年经验,大专,1.0
开发工程师,广州,2年经验,本科,1.0
其他,深圳,无需经验,本科,1.0
其他,上海,3-4年经验,本科,1.0
开发工程师,北京,1年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,2.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,北京,3-4年经验,本科,1.0
开发工程师,广州,在校生,本科,1.0
开发工程师,南宁,1年经验,大专,1.0
开发工程师,异地招聘,2年经验,大专,1.0
其他,武汉,,,1.0
其他,南京,,本科,
开发工程师,上海,2年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,2.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,合肥,2年经验,本科,1.0
开发工程师,广州,2年经验,本科,1.0
开发工程师,北京,2年经验,本科,1.0
开发工程师,常州,2年经验,本科,1.0
开发工程师,成都,,本科,0.0
其他,长沙,,本科,
开发工程师,深圳,5-7年经验,本科,1.0
其他,上海,1年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
讲师,上海,5-7年经验,本科,2.0
实习,广州,在校生,大专,1.0
其他,青岛,3-4年经验,本科,1.0
其他,上海,3-4年经验,本科,1.0
其他,上海,3-4年经验,大专,1.0
实习,成都,1年经验,大专,0.0
开发工程师,重庆,在校生,本科,1.0
开发工程师,成都,3-4年经验,本科,1.0
开发工程师,深圳,,大专,0.0
其他,杭州,3-4年经验,本科,1.0
其他,北京,3-4年经验,本科,1.0
开发工程师,上海,2年经验,大专,1.0
开发工程师,南京,,本科,
开发工程师,上海,5-7年经验,大专,1.0
开发工程师,北京,3-4年经验,本科,1.0
开发工程师,重庆,2年经验,大专,1.0
其他,广州,3-4年经验,本科,1.0
开发工程师,北京,,本科,
开发工程师,广州,,本科,
其他,武汉,2年经验,本科,1.0
其他,北京,,本科,1.0
开发工程师,深圳,2年经验,本科,1.0
开发工程师,深圳,2年经验,本科,1.0
开发工程师,上海,5-7年经验,本科,2.0
开发工程师,上海,3-4年经验,大专,1.0
开发工程师,苏州,2年经验,大专,1.0
开发工程师,成都,3-4年经验,本科,1.0
开发工程师,异地招聘,2年经验,大专,1.0
开发工程师,武汉,3-4年经验,本科,1.0
开发工程师,深圳,2年经验,本科,1.0
开发工程师,上海,2年经验,大专,1.0
开发工程师,苏州,1年经验,本科,1.0
其他,上海,2年经验,本科,1.0
开发工程师,异地招聘,3-4年经验,本科,1.0
开发工程师,北京,5-7年经验,本科,1.0
其他,上海,3-4年经验,硕士,1.0
其他,深圳,2年经验,大专,1.0
开发工程师,深圳,2年经验,本科,1.0
讲师,台州,无需经验,大专,1.0
开发工程师,广州,1年经验,本科,1.0
其他,上海,2年经验,本科,1.0
其他,杭州,8-9年经验,硕士,2.0
开发工程师,广州,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,大专,1.0
其他,上海,2年经验,本科,1.0
其他,厦门,无需经验,本科,1.0
开发工程师,广州,1年经验,大专,1.0
开发工程师,重庆,2年经验,本科,1.0
开发工程师,上海,5-7年经验,本科,1.0
其他,深圳,在校生,大专,1.0
开发工程师,南京,,,1.0
其他,北京,2年经验,大专,1.0
实习,成都,1年经验,大专,0.0
开发工程师,上海,5-7年经验,大专,1.0
其他,深圳,3-4年经验,本科,1.0
其他,上海,3-4年经验,大专,1.0
其他,深圳,2年经验,大专,2.0
讲师,无锡,1年经验,本科,1.0
其他,苏州,1年经验,大专,1.0
开发工程师,上海,2年经验,本科,1.0
开发工程师,北京,在校生,大专,1.0
其他,苏州,2年经验,本科,1.0
开发工程师,杭州,3-4年经验,本科,2.0
其他,南京,3-4年经验,本科,1.0
数据分析,异地招聘,1年经验,本科,1.0
开发工程师,西安,3-4年经验,本科,1.0
运维,东莞,1年经验,大专,1.0
实习,南京,在校生,大专,0.0
其他,上海,2年经验,本科,2.0
开发工程师,杭州,3-4年经验,本科,1.0
开发工程师,武汉,3-4年经验,本科,1.0
开发工程师,深圳,2年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,2.0
开发工程师,南昌,3-4年经验,大专,1.0
开发工程师,上海,在校生,大专,1.0
开发工程师,成都,2年经验,大专,1.0
其他,成都,无需经验,硕士,2.0
开发工程师,南京,3-4年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
其他,广州,1年经验,大专,1.0
其他,广州,2年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,上海,1年经验,大专,1.0
开发工程师,深圳,1年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,2.0
其他,异地招聘,1年经验,本科,1.0
开发工程师,天津,3-4年经验,本科,1.0
开发工程师,广州,1年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
其他,深圳,2年经验,本科,1.0
其他,上海,无需经验,本科,
开发工程师,广州,2年经验,本科,1.0
开发工程师,北京,3-4年经验,本科,1.0
开发工程师,长沙,1年经验,本科,1.0
其他,北京,3-4年经验,本科,2.0
开发工程师,上海,3-4年经验,本科,1.0
其他,上海,3-4年经验,本科,1.0
开发工程师,西安,2年经验,本科,1.0
其他,广州,1年经验,高中,0.0
开发工程师,南京,在校生,大专,0.0
开发工程师,上海,3-4年经验,本科,2.0
开发工程师,深圳,3-4年经验,大专,1.0
其他,深圳,5-7年经验,本科,1.0
开发工程师,南京,1年经验,本科,1.0
开发工程师,深圳,3-4年经验,大专,1.0
开发工程师,上海,3-4年经验,大专,1.0
开发工程师,沈阳,无需经验,大专,1.0
开发工程师,济南,无需经验,本科,1.0
开发工程师,武汉,3-4年经验,硕士,1.0
开发工程师,上海,3-4年经验,本科,1.0
其他,广州,,,1.0
开发工程师,珠海,3-4年经验,,1.0
开发工程师,深圳,2年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,深圳,5-7年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,成都,3-4年经验,本科,1.0
开发工程师,长沙,3-4年经验,本科,1.0
开发工程师,苏州,2年经验,本科,1.0
实习,杭州,在校生,本科,
其他,重庆,3-4年经验,本科,1.0
其他,上海,5-7年经验,本科,2.0
开发工程师,大连,3-4年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,北京,3-4年经验,本科,2.0
其他,武汉,1年经验,本科,1.0
讲师,广州,2年经验,大专,1.0
其他,上海,3-4年经验,本科,2.0
其他,深圳,1年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,北京,3-4年经验,本科,1.0
开发工程师,广州,3-4年经验,本科,1.0
开发工程师,深圳,5-7年经验,本科,2.0
开发工程师,上海,2年经验,大专,1.0
开发工程师,北京,1年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
其他,武汉,3-4年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,西安,3-4年经验,本科,1.0
其他,东莞,1年经验,本科,1.0
其他,广州,,本科,1.0
开发工程师,南京,2年经验,大专,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,广州,3-4年经验,本科,1.0
开发工程师,成都,3-4年经验,本科,1.0
开发工程师,成都,3-4年经验,本科,1.0
其他,成都,3-4年经验,本科,1.0
开发工程师,广州,3-4年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,
实习,南京,无需经验,高中,0.0
开发工程师,成都,8-9年经验,大专,1.0
开发工程师,大连,5-7年经验,大专,1.0
其他,苏州,无需经验,硕士,1.0
开发工程师,南昌,1年经验,大专,0.0
开发工程师,北京,3-4年经验,本科,1.0
其他,深圳,3-4年经验,本科,2.0
开发工程师,北京,无需经验,大专,2.0
开发工程师,深圳,2年经验,本科,1.0
其他,杭州,3-4年经验,本科,1.0
其他,上海,在校生,大专,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,北京,在校生,大专,1.0
开发工程师,广州,3-4年经验,本科,1.0
其他,上海,1年经验,大专,1.0
其他,杭州,3-4年经验,本科,1.0
开发工程师,佛山,2年经验,本科,1.0
开发工程师,福州,2年经验,本科,1.0
其他,深圳,3-4年经验,本科,1.0
其他,上海,2年经验,本科,1.0
开发工程师,济南,3-4年经验,大专,1.0
开发工程师,成都,2年经验,大专,1.0
开发工程师,武汉,3-4年经验,本科,1.0
开发工程师,武汉,1年经验,本科,0.0
开发工程师,上海,3-4年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,1.0
算法,上海,1年经验,本科,1.0
其他,北京,3-4年经验,大专,1.0
开发工程师,深圳,2年经验,,1.0
其他,异地招聘,1年经验,本科,1.0
开发工程师,深圳,5-7年经验,本科,1.0
其他,石家庄,3-4年经验,大专,1.0
开发工程师,杭州,在校生,本科,2.0
其他,深圳,5-7年经验,大专,1.0
其他,上海,3-4年经验,本科,1.0
开发工程师,武汉,1年经验,大专,1.0
开发工程师,武汉,5-7年经验,本科,1.0
开发工程师,广州,3-4年经验,大专,1.0
开发工程师,温州,1年经验,本科,1.0
开发工程师,合肥,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,广州,3-4年经验,大专,1.0
开发工程师,深圳,2年经验,本科,1.0
开发工程师,广州,3-4年经验,大专,1.0
实习,青岛,在校生,大专,0.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,北京,3-4年经验,本科,1.0
其他,三门峡,1年经验,大专,0.0
开发工程师,异地招聘,3-4年经验,本科,1.0
开发工程师,长沙,3-4年经验,本科,1.0
实习,广州,在校生,大专,1.0
开发工程师,沈阳,3-4年经验,本科,1.0
开发工程师,杭州,2年经验,大专,1.0
其他,大连,无需经验,本科,1.0
数据分析,海口,3-4年经验,本科,1.0
数据分析,大连,5-7年经验,大专,2.0
开发工程师,深圳,3-4年经验,本科,1.0
实习,青岛,在校生,大专,0.0
数据分析,杭州,2年经验,本科,1.0
开发工程师,北京,2年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,郑州,无需经验,,0.0
开发工程师,异地招聘,2年经验,,1.0
开发工程师,南宁,2年经验,本科,0.0
开发工程师,广州,2年经验,本科,1.0
其他,广州,2年经验,本科,1.0
讲师,宁波,在校生,本科,1.0
开发工程师,广州,1年经验,本科,1.0
开发工程师,上海,3-4年经验,大专,1.0
开发工程师,苏州,3-4年经验,本科,1.0
开发工程师,成都,3-4年经验,本科,1.0
其他,南京,5-7年经验,本科,1.0
讲师,昆明,2年经验,本科,1.0
其他,武汉,2年经验,大专,1.0
开发工程师,武汉,2年经验,本科,1.0
开发工程师,上海,2年经验,本科,1.0
开发工程师,广州,1年经验,大专,1.0
开发工程师,天津,3-4年经验,本科,1.0
开发工程师,重庆,3-4年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,苏州,在校生,本科,1.0
开发工程师,合肥,3-4年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,上海,1年经验,本科,1.0
其他,上海,3-4年经验,本科,1.0
开发工程师,武汉,,,1.0
其他,西安,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,大专,2.0
其他,杭州,2年经验,大专,1.0
其他,西安,1年经验,大专,0.0
开发工程师,武汉,2年经验,大专,1.0
开发工程师,深圳,在校生,高中,1.0
其他,北京,1年经验,本科,1.0
其他,深圳,3-4年经验,本科,1.0
开发工程师,南京,1年经验,大专,1.0
开发工程师,上海,3-4年经验,本科,2.0
开发工程师,深圳,5-7年经验,本科,2.0
开发工程师,深圳,1年经验,大专,1.0
开发工程师,杭州,2年经验,大专,1.0
开发工程师,南京,2年经验,本科,1.0
算法,厦门,1年经验,本科,1.0
其他,深圳,3-4年经验,本科,1.0
实习,深圳,无需经验,大专,1.0
开发工程师,上海,2年经验,大专,1.0
开发工程师,广州,1年经验,大专,1.0
开发工程师,深圳,3-4年经验,大专,2.0
其他,广州,3-4年经验,大专,1.0
开发工程师,重庆,3-4年经验,本科,1.0
开发工程师,上海,5-7年经验,大专,1.0
开发工程师,广州,3-4年经验,大专,1.0
开发工程师,深圳,3-4年经验,本科,1.0
其他,杭州,2年经验,本科,1.0
开发工程师,郑州,2年经验,大专,0.0
开发工程师,长沙,2年经验,大专,1.0
开发工程师,成都,无需经验,,0.0
开发工程师,大连,2年经验,,1.0
开发工程师,天津,2年经验,本科,1.0
其他,广州,1年经验,大专,1.0
开发工程师,武汉,1年经验,本科,1.0
开发工程师,合肥,3-4年经验,本科,1.0
开发工程师,广州,2年经验,大专,1.0
开发工程师,西安,3-4年经验,大专,1.0
开发工程师,武汉,5-7年经验,本科,1.0
其他,上海,1年经验,本科,1.0
其他,上海,5-7年经验,本科,1.0
开发工程师,异地招聘,5-7年经验,本科,2.0
开发工程师,北京,在校生,本科,1.0
架构师,深圳,5-7年经验,大专,2.0
讲师,成都,3-4年经验,大专,1.0
开发工程师,杭州,1年经验,大专,0.0
开发工程师,上海,2年经验,本科,1.0
开发工程师,杭州,3-4年经验,大专,1.0
开发工程师,杭州,3-4年经验,大专,1.0
开发工程师,异地招聘,,,1.0
开发工程师,成都,2年经验,本科,1.0
其他,深圳,3-4年经验,本科,
开发工程师,上海,3-4年经验,大专,1.0
开发工程师,上海,2年经验,本科,1.0
开发工程师,南京,1年经验,本科,1.0
讲师,贵阳,1年经验,本科,1.0
开发工程师,广州,2年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,2.0
开发工程师,上海,5-7年经验,本科,1.0
数据分析,杭州,2年经验,本科,1.0
开发工程师,上海,1年经验,本科,1.0
开发工程师,广州,3-4年经验,本科,1.0
开发工程师,杭州,3-4年经验,本科,1.0
开发工程师,杭州,1年经验,本科,1.0
其他,上海,1年经验,本科,1.0
开发工程师,上海,1年经验,本科,1.0
开发工程师,南京,3-4年经验,大专,1.0
开发工程师,深圳,,本科,1.0
开发工程师,北京,3-4年经验,本科,2.0
其他,深圳,无需经验,硕士,
其他,南京,1年经验,大专,1.0
开发工程师,上海,2年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
其他,北京,2年经验,本科,1.0
讲师,杭州,1年经验,本科,1.0
其他,广州,3-4年经验,本科,1.0
开发工程师,深圳,1年经验,本科,1.0
其他,深圳,1年经验,大专,1.0
开发工程师,上海,2年经验,大专,1.0
开发工程师,北京,3-4年经验,本科,2.0
其他,佛山,在校生,大专,1.0
实习,武汉,在校生,本科,0.0
开发工程师,东莞,2年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
测试,东莞,3-4年经验,本科,1.0
测试,上海,2年经验,本科,1.0
开发工程师,北京,1年经验,本科,1.0
开发工程师,上海,2年经验,本科,1.0
开发工程师,南京,在校生,本科,1.0
开发工程师,佛山,2年经验,本科,1.0
开发工程师,大连,3-4年经验,大专,1.0
开发工程师,北京,2年经验,本科,1.0
开发工程师,洛阳,2年经验,本科,0.0
开发工程师,成都,无需经验,,0.0
其他,上海,2年经验,大专,1.0
开发工程师,北京,2年经验,本科,1.0
开发工程师,杭州,5-7年经验,本科,2.0
开发工程师,成都,3-4年经验,大专,1.0
开发工程师,广州,1年经验,大专,1.0
其他,上海,3-4年经验,大专,1.0
开发工程师,深圳,2年经验,本科,2.0
其他,苏州,1年经验,大专,1.0
开发工程师,成都,1年经验,本科,1.0
开发工程师,广州,5-7年经验,大专,2.0
其他,昆山,5-7年经验,本科,1.0
开发工程师,广州,1年经验,硕士,1.0
开发工程师,济南,3-4年经验,本科,1.0
开发工程师,上海,2年经验,大专,1.0
开发工程师,南京,3-4年经验,本科,1.0
开发工程师,东莞,3-4年经验,大专,1.0
开发工程师,深圳,1年经验,本科,1.0
开发工程师,广州,5-7年经验,本科,1.0
其他,异地招聘,2年经验,大专,1.0
其他,深圳,3-4年经验,本科,2.0
开发工程师,异地招聘,3-4年经验,本科,1.0
开发工程师,广州,2年经验,大专,1.0
讲师,宁波,在校生,本科,1.0
开发工程师,广州,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,大专,1.0
主管,南京,无需经验,本科,1.0
开发工程师,杭州,2年经验,本科,1.0
开发工程师,上海,3-4年经验,大专,1.0
开发工程师,济南,2年经验,本科,1.0
开发工程师,上海,3-4年经验,本科,1.0
其他,上海,1年经验,本科,1.0
其他,无锡,1年经验,本科,0.0
开发工程师,深圳,3-4年经验,大专,1.0
开发工程师,广州,1年经验,本科,1.0
开发工程师,深圳,2年经验,大专,1.0
开发工程师,北京,3-4年经验,本科,2.0
其他,深圳,3-4年经验,本科,2.0
开发工程师,上海,2年经验,本科,1.0
其他,广州,5-7年经验,本科,2.0
开发工程师,南京,2年经验,大专,1.0
测试,南京,1年经验,大专,1.0
开发工程师,无锡,2年经验,本科,1.0
开发工程师,重庆,1年经验,大专,0.0
开发工程师,重庆,1年经验,大专,0.0
开发工程师,杭州,2年经验,本科,1.0
开发工程师,成都,2年经验,本科,1.0
开发工程师,上海,在校生,本科,1.0
讲师,宝鸡,2年经验,大专,1.0
其他,广州,2年经验,本科,1.0
开发工程师,北京,3-4年经验,本科,1.0
讲师,烟台,1年经验,本科,1.0
其他,上海,1年经验,大专,1.0
开发工程师,异地招聘,3-4年经验,本科,1.0
开发工程师,深圳,3-4年经验,本科,1.0
