职位,城市,经验,学历,工资水平
其他,深圳,无需经验,大专,6000.0
开发工程师,上海,3-4年经验,本科,12500.0
数据分析,上海,5-7年经验,本科,27500.0
开发工程师,深圳,3-4年经验,大专,17500.0
开发工程师,上海,2年经验,大专,12500.0
开发工程师,苏州,3-4年经验,本科,12500.0
开发工程师,深圳,3-4年经验,本科,20000.0
实习,上海,在校生\/应届生,硕士,
开发工程师,重庆,1年经验,本科,12500.0
开发工程师,北京,本科,本科,17500.0
其他,上海,3-4年经验,本科,40000.0
开发工程师,上海,2年经验,本科,20833.333333333336
其他,上海,3-4年经验,大专,12500.0
开发工程师,南京,在校生\/应届生,大专,6000.0
开发工程师,合肥,2年经验,本科,12500.0
开发工程师,杭州,3-4年经验,大专,20500.0
其他,长沙,2年经验,大专,11000.0
开发工程师,北京,2年经验,本科,10500.0
开发工程师,佛山,2年经验,大专,5250.0
其他,广州,2年经验,本科,9000.0
开发工程师,西安,3-4年经验,本科,10000.0
其他,厦门,1年经验,大专,6000.0
开发工程师,北京,2年经验,大专,12500.0
开发工程师,上海,2年经验,大专,10000.0
开发工程师,武汉,5-7年经验,本科,17916.666666666664
开发工程师,杭州,2年经验,本科,12500.0
其他,西安,在校生\/应届生,大专,3750.0
其他,合肥,2年经验,本科,12500.0
开发工程师,上海,2年经验,本科,12500.0
讲师,郑州,1年经验,大专,7000.0
其他,成都,3-4年经验,本科,9000.0
其他,西安,在校生\/应届生,大专,7000.0
讲师,广州,1年经验,大专,9000.0
开发工程师,银川,3-4年经验,本科,10500.0
其他,北京,3-4年经验,大专,17500.0
开发工程师,上海,3-4年经验,本科,17500.0
算法,西安,3-4年经验,本科,16000.0
其他,异地招聘,2年经验,本科,11500.0
开发工程师,无锡,无需经验,本科,8000.0
开发工程师,广州,1年经验,大专,7000.0
其他,长沙,在校生\/应届生,本科,8000.0
其他,东莞,3-4年经验,大专,10000.0
其他,上海,无需经验,本科,12500.0
其他,上海,1年经验,大专,7000.0
其他,昆明,1年经验,大专,6000.0
开发工程师,武汉,2年经验,本科,13000.0
讲师,长沙,1年经验,大专,11500.0
开发工程师,异地招聘,3-4年经验,本科,18500.0
开发工程师,上海,3-4年经验,本科,16000.0
其他,上海,2年经验,本科,12500.0
开发工程师,广州,2年经验,本科,15000.0
实习,沈阳,在校生\/应届生,大专,5250.0
开发工程师,成都,1年经验,大专,9000.0
其他,张家口,1年经验,本科,7000.0
其他,武汉,2年经验,本科,12500.0
实习,苏州,在校生\/应届生,大专,5250.0
开发工程师,苏州,1年经验,本科,7500.0
其他,上海,3-4年经验,本科,27500.0
其他,成都,1年经验,本科,10000.0
开发工程师,上海,1年经验,本科,
讲师,南京,1年经验,本科,5000.0
其他,上海,3-4年经验,本科,12500.0
